,variable,relative_importance,scaled_importance,percentage
90,avg_posts_day,0.20740726590156555,0.00026962903754214443,7.893606803601387e-05
91,Coffee Cup,0.1388888955116272,0.0001805552908636497,5.2859012715377935e-05
92,N_3,0.1388818472623825,0.00018054612815350093,5.2856330258331435e-05
93,Toy,0.12962806224822998,0.00016851622584442743,4.9334479660221426e-05
94,Pizza,0.08888412266969681,0.00011554918456705499,3.3827952573785076e-05
95,Festival,0.08331298828125,0.00010830672082478781,3.1707663097846834e-05
96,Airplane,0.08331298828125,0.00010830672082478781,3.1707663097846834e-05
97,Child,0.07407361268997192,9.629555073709666e-05,2.8191296508117313e-05
98,Person,0.07407117635011673,9.629238350007907e-05,2.8190369274021957e-05
99,Downtown,0.059259314090013504,7.703699170828987e-05,2.25531985508976e-05
100,user_posted_photos,0.05555560812354088,7.222218123991865e-05,2.1143624084525605e-05
101,P_1,0.05555560812354088,7.222218123991865e-05,2.1143624084525605e-05
102,avg_posts_early_day,0.055555447936058044,7.222197299650617e-05,2.1143563119592728e-05
103,Drawing,0.0555550791323185,7.222149355237048e-05,2.1143422758468204e-05
104,Sky,0.0,0.0,0.0
105,Crowd,0.0,0.0,0.0
106,Sport,0.0,0.0,0.0
107,Beard,0.0,0.0,0.0
108,Woman,0.0,0.0,0.0
109,Musical Instrument,0.0,0.0,0.0
110,City,0.0,0.0,0.0
111,Laptop,0.0,0.0,0.0
112,Cloud,0.0,0.0,0.0
113,Beer Bottle,0.0,0.0,0.0
114,Club,0.0,0.0,0.0
115,Sketch,0.0,0.0,0.0
116,Cafeteria,0.0,0.0,0.0
117,Breakfast,0.0,0.0,0.0
118,ANGRY,0.0,0.0,0.0
119,SAD,0.0,0.0,0.0
